###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58279.367410 -20.902  0.787   -16   12 c  0   0.94 183.04289  13.24918  5915.97  1429.49 2.64 2.56 -78.1 -0.401 19.45 21.15 02a58279o0264c
58279.378722  20.967  0.841    15   12 c  0   0.97 183.04289  13.24918  5935.33  1313.07 2.67 2.61  62.7 -0.403 19.36 21.06 02a58279o0287c
58280.314986 -21.015  1.812   -14   26 o  0   0.80 183.04289  13.24918  9974.46   104.22 3.49 3.20 -68.1 -0.422 18.69 20.30 01a58280o0164o
58280.325326  20.013  1.155    36   41 o  0   0.91 183.04289  13.24918 10003.33   181.54 3.44 3.11 -68.6 -0.429 18.43 20.03 01a58280o0186o
58280.325786  21.777  5.133     7   36 o  0   1.05 183.04289  13.24918   328.74   238.06 3.28 3.11 -15.2 -0.422 18.59 20.21 01a58280o0187o
58280.336164 -22.337  5.812    -4   24 o  0   1.08 183.04289  13.24918  9955.97   143.11 3.35 3.14 -58.5 -0.427 18.88 20.41 01a58280o0209o
58280.336625  20.605  1.014    21   21 o  0   0.83 183.04289  13.24918   359.85   316.78 3.26 3.05 -11.7 -0.433 18.97 20.55 01a58280o0210o
58280.347010  19.116  1.664    82  136 o  0   0.95 183.04289  13.24918  9947.00   299.92 3.57 3.12 -82.3 -0.437 17.93 19.47 01a58280o0232o
58280.347470 -18.398  0.594  -159   94 o  0   1.05 183.04289  13.24918   312.31   275.28 3.38 3.14 -17.5 -0.461 17.32 18.84 01a58280o0233o
58280.358289  16.939  2.646   609 1611 o  0   1.17 183.04289  13.24918   306.24   429.33 3.36 3.03 -28.1 -0.440 16.85 18.54 01a58280o0256o
58281.283391  20.619  0.670    20   14 o  0   1.04 183.04289  13.24918  5438.46  7847.90 3.02 2.84  85.9 -0.440 19.31 20.97 01a58281o0106o
58281.292812 -20.415  0.512   -25   13 o  0   1.17 183.04289  13.24918  5463.55  7924.25 3.24 2.72 -83.1 -0.445 19.33 20.93 01a58281o0126o
58281.302358 -21.092  1.043   -13   14 o  0   1.12 183.04289  13.24918  5414.46  7884.05 3.07 2.77 -84.6 -0.446 19.31 20.96 01a58281o0146o
58281.310499 -21.768  1.784    -7   13 o  0   1.32 183.04289  13.24918  5403.42  8031.01 3.07 2.81 -88.1 -0.445 19.33 20.99 01a58281o0163o
58285.262000 -22.787  6.214    -3   17 o  0   0.77 183.04289  13.24918  7823.62  7971.40 3.16 2.82 -81.7 -0.449 19.31 20.91 01a58285o0021o
58285.267363 -22.673  4.467    -3   14 o  0   1.42 183.04289  13.24918  7843.51  8009.28 3.26 2.85 -84.9 -0.447 19.34 20.91 01a58285o0032o
58285.278458  20.616  0.686    21   14 o  0   0.95 183.04289  13.24918  7786.44  7932.32 3.19 2.82 -84.2 -0.450 19.28 20.93 01a58285o0055o
58285.288055 -20.478  0.702   -23   16 o  0   0.87 183.04289  13.24918  7770.78  8048.53 3.52 2.88 -83.8 -0.430 19.27 20.93 01a58285o0075o
58287.295760  21.437  1.328    10   13 c  0   1.49 183.04289  13.24918  3127.79  1537.91 2.63 2.47  46.2 -0.410 19.23 20.49 02a58287o0111c
58287.306753  21.732  2.000     7   15 c  0   1.22 183.04289  13.24918  3109.02  1498.50 2.61 2.44  51.9 -0.421 19.19 20.50 02a58287o0133c
58287.317266  20.791  0.872    18   15 c  0   0.74 183.04289  13.24918  3165.33  1576.17 2.57 2.46  53.1 -0.413 19.33 20.69 02a58287o0154c
58287.327861  20.026  0.928    36   33 c  0   0.91 183.04289  13.24918  3184.14  1458.72 2.55 2.45  57.5 -0.416 18.58 20.05 02a58287o0176c
58288.285348 -22.210  6.294    -5   30 o  0   0.96 183.04289  13.24918  2001.16    45.66 3.99 3.26 -10.1 -0.342 18.83 20.00 01a58288o0108o
58288.295413  22.353  6.600     4   27 o  0   1.10 183.04289  13.24918  2041.78    83.90 3.91 3.20 -12.1 -0.363 18.81 19.90 01a58288o0129o
58288.316094  20.380  0.955    26   24 o  0   1.30 183.04289  13.24918  1949.32   122.42 3.39 2.96 -10.8 -0.403 18.73 19.79 01a58288o0173o
58290.298224 -20.923  1.802   -16   28 o  0   1.21 183.04289  13.24918  1200.19  9886.16 2.90 2.76 -42.8 -0.432 18.47 19.33 02a58290o0134o
58290.308209  20.268  1.231    28   35 o  0   1.05 183.04289  13.24918  1182.73  9846.14 3.45 3.30   3.8 -0.369 18.40 19.31 02a58290o0155o
58290.318724 -20.408  1.116   -25   28 o  0   1.10 183.04289  13.24918  1238.12  9924.03 2.84 2.67  11.5 -0.422 18.49 19.28 02a58290o0176o
58290.330338  20.403  1.404    25   35 o  0   1.26 183.04289  13.24918  1264.32  9802.96 3.69 3.41   7.5 -0.350 18.16 19.24 02a58290o0198o
58291.257188 -20.231  0.893   -29   26 o  0   1.20 183.04289  13.24918  3836.86  2264.64 2.95 2.57 -62.6 -0.422 18.56 19.25 02a58291o0009o
58291.266724 -21.522  2.271    -9   20 o  0   1.18 183.04289  13.24918  3815.35  2222.84 2.64 2.46 -64.2 -0.479 18.78 19.50 02a58291o0028o
58291.277773  20.263  0.763    28   22 o  0   1.11 183.04289  13.24918  3871.68  2297.67 2.35 2.33 -84.3 -0.441 18.80 19.48 02a58291o0051o
58291.287540  20.491  1.006    23   23 o  0   0.73 183.04289  13.24918  3889.74  2179.28 2.44 2.39  65.0 -0.446 18.74 19.48 02a58291o0071o
58292.300015  20.502  1.077    23   25 o  0   1.37 183.04289  13.24918  2457.62   753.17 3.05 2.57  -6.2 -0.453 18.74 19.62 01a58292o0152o
58292.309972 -20.150  0.856   -32   27 o  0   1.06 183.04289  13.24918  2479.40   791.97 3.17 2.65  -9.2 -0.436 18.69 19.55 01a58292o0173o
58292.319036 -21.657  3.675    -8   29 o  0   0.88 183.04289  13.24918  2421.52   713.50 3.25 2.75  -8.8 -0.413 18.63 19.51 01a58292o0192o
58292.329059  21.251  2.526    12   29 o  0   1.01 183.04289  13.24918  2406.71   830.58 3.27 2.74  -8.4 -0.418 18.63 19.45 01a58292o0213o
58293.250697 -22.563  9.222    -3   32 o  0   1.01 183.04289  13.24918  1656.72   883.21 3.25 2.68  -5.0 -0.433 18.44 19.23 01a58293o0031o
58293.253545 -20.596 13.613   -21  285 o  0   0.02 183.04289  13.24918  6583.65 10502.11 4.02 3.02 -75.1 -0.406 18.65 19.57 01a58293o0037o
58293.257450  21.205  1.905    12   23 o  0   1.24 183.04289  13.24918  1676.48   920.39 3.25 2.69  -7.8 -0.429 18.83 19.78 01a58293o0045o
58293.267032 -20.373  0.797   -26   20 o  0   1.12 183.04289  13.24918  1617.24   840.15 3.34 2.76  -6.9 -0.413 18.86 19.88 01a58293o0065o
58293.272768  21.409  2.163    10   22 o  0   1.38 183.04289  13.24918  6543.17 10460.96 3.39 2.66 -75.1 -0.472 18.88 19.90 01a58293o0077o
58293.278056 -21.077  1.580   -14   21 o  0   1.51 183.04289  13.24918  1600.89   956.62 3.27 2.73 -11.5 -0.433 18.81 19.85 01a58293o0088o
58295.253648 -20.712  1.139   -19   22 o  0   1.53 183.04289  13.24918  3677.06  2067.04 2.40 2.26  37.9 -0.452 18.42 18.85 02a58295o0036o
58295.261676 -20.064  0.601   -34   21 o  0   1.08 183.04289  13.24918  3658.98  2025.08 2.41 2.22  39.5 -0.430 18.79 19.49 02a58295o0052o
58295.271892  22.619  6.280     3   20 o  0   1.06 183.04289  13.24918  3715.24  2101.53 2.44 2.32  31.0 -0.434 18.86 19.57 02a58295o0073o
58295.282086 -21.324  1.643   -11   18 o  0   1.27 183.04289  13.24918  3734.21  1983.98 2.43 2.28  30.7 -0.443 18.83 19.54 02a58295o0094o
58296.287369  22.724 10.188     3   30 o  0   1.10 183.04289  13.24918  6691.92  8149.87 3.07 2.69 -78.3 -0.455 18.70 19.66 01a58296o0104o
58296.296506 -21.694  3.902    -8   30 o  0   1.26 183.04289  13.24918  6711.95  8188.88 3.09 2.69 -78.8 -0.450 18.64 19.60 01a58296o0123o
58296.305669  19.922  0.888    39   35 o  0   1.14 183.04289  13.24918  6654.25  8113.60 3.20 2.76 -80.5 -0.445 18.59 19.54 01a58296o0142o
58296.315003 -19.845  0.868   -42   36 o  0   1.23 183.04289  13.24918  6637.94  8230.22 3.38 2.94 -81.5 -0.427 18.46 19.46 01a58296o0161o
