HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459976.544,2023-02-01.0396269,bo,1.42,18.277,>18.277,99.99,0.091,0.036,g
2459978.524,2023-02-03.0196781,bp,1.55,17.618,>17.618,99.99,-0.086,0.065,g
2459978.803,2023-02-03.2983890,bl,1.49,17.216,>17.216,99.99,0.037,0.094,g
2459982.663,2023-02-07.1576689,bk,1.52,16.634,>16.634,99.99,-0.035,0.161,g
2459983.567,2023-02-08.0622783,bG,2.17,16.758,>16.758,99.99,0.093,0.144,g
2459983.655,2023-02-08.1496939,bl,1.6,16.585,>16.585,99.99,-0.776,0.169,g
2459984.669,2023-02-09.1634846,bG,2.01,17.166,>17.166,99.99,-0.074,0.099,g
2459986.738,2023-02-11.2333476,bH,1.43,17.28,>17.280,99.99,0.307,0.089,g
2459987.702,2023-02-12.1963445,bk,1.54,17.601,>17.601,99.99,-0.197,0.066,g
2459987.765,2023-02-12.2601738,bt,1.68,17.858,>17.858,99.99,0.155,0.052,g
2459988.388,2023-02-12.8833017,bp,1.46,18.197,>18.197,99.99,0.031,0.038,g
2459988.442,2023-02-12.9367916,bo,1.46,18.197,>18.197,99.99,-0.081,0.038,g
2459988.651,2023-02-13.1457651,bH,1.42,17.798,>17.798,99.99,-0.007,0.055,g
2459988.712,2023-02-13.2069748,bk,1.51,17.759,>17.759,99.99,0.009,0.057,g
2459989.354,2023-02-13.8492194,bo,1.41,18.389,>18.389,99.99,0.007,0.032,g
2459989.524,2023-02-14.0192059,bG,2.48,17.115,>17.115,99.99,0.331,0.104,g
2459989.608,2023-02-14.1026075,bH,1.43,17.994,>17.994,99.99,0.004,0.046,g
2459990.304,2023-02-14.7987950,bp,1.54,18.135,>18.135,99.99,-0.004,0.04,g
2459990.403,2023-02-14.8973435,bo,1.48,18.639,>18.639,99.99,0,0.025,g
2459990.862,2023-02-15.3571278,bH,1.39,18.075,>18.075,99.99,-0.045,0.043,g
2459991.33,2023-02-15.8246969,bo,1.47,18.429,>18.429,99.99,0.074,0.031,g
2459992.577,2023-02-17.0714719,bl,1.48,17.865,>17.865,99.99,-0.073,0.052,g
2459993.581,2023-02-18.0755510,bH,1.41,18.101,>18.101,99.99,-0.003,0.042,g
2459994.594,2023-02-19.0882905,bG,1.54,17.716,>17.716,99.99,-0.058,0.06,g
2459994.867,2023-02-19.3618598,bl,1.45,17.659,>17.659,99.99,0.106,0.063,g
2459995.438,2023-02-19.9328903,bp,2.02,17.394,>17.394,99.99,0.202,0.08,g
2459995.563,2023-02-20.0580887,bG,1.76,17.653,>17.653,99.99,0.106,0.063,g
2459995.764,2023-02-20.2584069,bt,1.49,18.036,>18.036,99.99,-0.042,0.044,g
2459996.761,2023-02-21.2551831,bt,1.62,17.938,>17.938,99.99,0.074,0.049,g
2459997.368,2023-02-21.8626393,bp,1.69,18.217,>18.217,99.99,-0.037,0.038,g
2459997.539,2023-02-22.0333144,bo,1.76,18.422,>18.422,99.99,0.01,0.031,g
2459997.665,2023-02-22.1599333,bl,1.47,17.767,>17.767,99.99,-0.23,0.057,g
2459997.848,2023-02-22.3424248,bk,1.47,18.099,>18.099,99.99,-0.098,0.042,g
2459998.29,2023-02-22.7848056,bp,1.52,18.579,>18.579,99.99,0.031,0.027,g
2459998.516,2023-02-23.0108502,bo,1.46,18.778,>18.778,99.99,0.09,0.022,g
2459998.607,2023-02-23.1015146,bl,1.49,18.017,>18.017,99.99,0.079,0.045,g
2459998.67,2023-02-23.1646674,bH,1.39,17.939,>17.939,99.99,-0.123,0.048,g
2459999.37,2023-02-23.8641765,bo,1.44,18.736,>18.736,99.99,-0.017,0.023,g
2459999.512,2023-02-24.0068157,bp,1.51,18.749,>18.749,99.99,-0.026,0.023,g
2460000.307,2023-02-24.8020620,bo,1.49,18.159,18.134,0.214,0.203,0.04,g
2460000.44,2023-02-24.9349812,bp,1.64,18.465,>18.465,99.99,-0.077,0.03,g
2460000.567,2023-02-25.0620915,bk,1.46,18.146,>18.146,99.99,-0.034,0.04,g
2460000.857,2023-02-25.3515100,bl,1.49,17.644,>17.644,99.99,0.087,0.064,g
2460001.376,2023-02-25.8707306,bp,1.71,18.669,>18.669,99.99,0.013,0.025,g
2460001.851,2023-02-26.3459842,bl,1.46,17.63,>17.630,99.99,-0.074,0.064,g
2460002.368,2023-02-26.8624495,bo,1.48,18.703,>18.703,99.99,-0.08,0.024,g
2460002.383,2023-02-26.8776032,bp,1.51,18.313,>18.313,99.99,-0.04,0.034,g
2460002.657,2023-02-27.1517366,bH,1.4,18.513,>18.513,99.99,0.007,0.029,g
2460003.295,2023-02-27.7896234,bo,1.46,18.374,>18.374,99.99,-0.086,0.032,g
2460003.314,2023-02-27.8088944,bp,1.48,17.86,>17.860,99.99,-0.057,0.052,g
2460003.619,2023-02-28.1140034,bH,1.4,17.846,>17.846,99.99,0.028,0.053,g
2460003.774,2023-02-28.2683019,bG,1.53,18.185,>18.185,99.99,-0.014,0.039,g
2460004.507,2023-03-01.0019915,bp,1.51,18.261,>18.261,99.99,0.101,0.036,g
2460004.828,2023-03-01.3226574,bl,1.5,17.695,>17.695,99.99,-0.101,0.061,g
2460005.398,2023-03-01.8928555,bp,1.53,17.028,>17.028,99.99,0.264,0.112,g
2460005.731,2023-03-02.2251589,bH,1.42,17.787,>17.787,99.99,-0.151,0.056,g
